,title,company_name,link,exp,years_extracted,desc,sourceDomain,formattedIndustries,applicantTrackingSystem,years_nums
171,Software Engineer,pentair,https://www.linkedin.com/jobs/view/3616040787,Mid-Senior level,"['Statistics with 10+ years experience in appli', 'ation development2+ years of experience devel']","Responsibilities
Job Description:
Design, develop and deploy customized solutions using the Microsoft Power Platform, including Power Apps, Power Automate, Power BI, and DataverseWrite clean, scalable code using .NET programming languages that conforms to coding standards.Collaborate with business analysts and other stakeholders to gather requirements and design solutions that meet business needsEnvision new applications by analyzing customer requirements, constructing workflow charts and logic diagrams, and conceptualizing user interfaces.Develop connections to and integrations between various data sources. Develop and implement data collection systems that optimize data quality for statistical efficiency.Test and deploy applications and systems.Revise, update, refactor and debug code.Develop documentation throughout the software development life cycle (SDLC).Troubleshoot and debug issues as they ariseServe as an expert on applications and provide technical support as required.Stay up-to-date with new features and technologies related to the Microsoft Power Platform and related technologies
Qualifications
BS/BE in Mathematics, Computer Science, Information Management, Mechanical Engineering or Statistics with 10+ years experience in application development2+ years of experience developing solutions using the Microsoft Power Platform, including Power Apps, Power Automate, Power BI, and Dataverse
Requirements And Skills
Proven experience as a .NET Developer or Application Developer using C#Proven experience developing solutions using the M365 PlatformKnowledge of the .NET languages C# and HTML5/CSS3Knowledge of JavaScript, jQueryFamiliarity with architecture styles/APIs (REST, RPC)Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC))Strong knowledge of coding standards and best practicesExperience with data modeling and database designExperience with Azure services, including Azure Functions and Logic Apps, is a plusUnderstanding of Agile methodologiesAbility to work collaboratively in a team environmentEfficiently adapt to shifting prioritiesExcellent troubleshooting, problem solving, and analytical skills.Excellent verbal and written and communication skills.
Diversity And Inclusion
With our expanding global presence, cross-cultural insight and competence are essential for our ongoing success. We believe that a diverse workforce contributes different perspectives and creative ideas that enable us to continue to improve every day. Race, gender, ethnicity, country of origin, age, personal style, sexual orientation, physical ability, religion, life experiences and many more factors contribute to this diversity.
We take ongoing action to improve the diversity of our workforce by:
Ensuring leadership involvement and ownershipAttracting and retaining diverse talent at all levelsFostering a globally aware, inclusive cultureEnsuring our practices are fair and non-discriminatory",pentair.wd5.myworkdayjobs.com,"['Electrical & Electronic Manufacturing', 'Logistics & Supply Chain', 'Mechanical Or Industrial Engineering']",Workday,"[[10], []]"
172,"C++ Developer, GFI Software (Remote) - $60,000/year USD",crossover,https://www.linkedin.com/jobs/view/3634188037,Mid-Senior level,"['ates to $60,000 USD/ year assuming 40 hours p', 'irements At least 3 years of professional C/C', 'ek and 50 weeks per year . The payment period']","Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, GFI Software. Have you got what it takes?
GFI offers an award-winning suite of must-have network security and communication software products that are distributed through our well-established partners. We are looking for a highly skilled Solution Architect who will ensure that GFI products are the go-to solution for small and medium businesses.
As a C or C++ network security expert who loves hands-on coding, you will enjoy this strategic position in which you will empower Product Managers to define product roadmaps, help Support Leaders to troubleshoot highly complex product issues, enable our Partners and Resellers with the high-quality solutions.
What You Will Be Doing
Your end goal is to enable all GFI customers to take advantage of the high-end network security products to ensure secure and safe business operations. GFI software enables SMB clients with simple-to-use and featured solutions. You’ll commit to the company mission by:
Product Roadmap Reviews - participate in product roadmap ideation, challenge Product Manager specsTroubleshooting complex Client problems - collect required evidence, locate the problem, debug software, deliver RCA to EngineersCoding New Product Feature - analyze specs, do high-quality coding for high-performance appsMaking Product Certification - create environments, test the functionality of the critical/affected appPerforming Product Risk Assessment - analyze third-party risks to our products, define mitigation solution
What You Won’t Be Doing
Wasting your brainpower on routine solution implementations - this is not a consultancy or client billable work
C++ Developer key responsibilities
Product Architecture - documented and worked CI/CD pipelines, managed third-party dependencies, managed 99.99x% SaaS environmentsProduct Development - bug-free features rolled out to productionSupport - have representative environments, have 0 backlogs of the complex unresolved client issuesProduct Management - 100% risk assessed product roadmap, releases certified on various configurations 
Basic Requirements
At least 3 years of professional C/C++ programming experience
About GFI Software
GFI Software develops essential applications for small and medium businesses. Over 80,000 customers choose GFI solutions for network management and performance, security, and collaboration applications. GFI Software available through thousands of channel partners dedicated to serving specific countries and regions worldwide.
GFI has a fully remote, global workforce. GFI has partnered with Crossover to administer its hiring and global workforce management.
There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!
Working with Crossover
This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.
What to expect next:
You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4706-IN-Noida-C++Developer.033
",www.crossover.com,"['Computer & Network Security', 'Computer Software', 'Information Technology & Services']",,"[[60, 0, 40], [3], [50]]"
173,Software Engineer ,aqua-security,https://www.linkedin.com/jobs/view/3618347518,Mid-Senior level,['rements:At least 9+ years of experience deliv'],"Aqua Security enables enterprises to secure their container-based and cloud-native applications from development to production, accelerating container adoption and bridging the gap between DevOps and IT security.
About The PositionWe are building a state-of-the-art security platform for large enterprises in the exciting and innovative new field of software containers. Our systems are deployed on thousands of customer servers around the world. A distributed system to watch over distributed systems! We are looking for a talented Seasonal Senior Software Engineer to join our server team, in charge of developing Aqua's management console - a multi-component system with many responsibilities, performing various background jobs and large-scale data processing; supplying REST APIs, a web based UI and more.In this role, you will take part in further development of our management console, writing features across the entire application stack: SQL queries, business logic, background processes, REST APIs and web-based user interfaces.At Aqua, you will not be writing code for in-house applications. You will be writing code for large technology companies, banks, government agencies and multi-national chains.Our product is composed of multiple components, mostly installed on-premise in our customer's cloud environments, but also has SaaS components, plugins for various CI/CD systems and many more. Almost everything runs inside containers. It is written in Go - an exciting new language from Google, and heavily depends on free software/open source components. Our web UI is currently written in VueJS. We are primarily a Linux company, but our software also supports Windows and Mac. Our R&D team is comprised of both young and experienced developers who love what they do. We are using cutting-edge technologies in an environment that encourages new ideas and experimentation.
Requirements:At least 9+ years of experience delivering features in large-scale applications or core systems If you've written code in an I/O intensive, highly concurrent applications handling multitudes of data or real-time events, we are looking for you.Experience writing multi-component systems or micro-services, with architectures requiring efficient inter-application communication. If you know what Kafka is, and think it's the bee's knees, we will think the same of you. Experience writing in a high-level language such as Go, Java, C++ or, Rust, If you're an expert Go programmer that's a big plus. Experience with RDBMS systems (e.g. MySQL, PostgreSQL, Oracle, SQLite) and/or NoSQL databases (e.g. MongoDB, Redis, Cassandra, Couchbase). If you've written queries with more than two joins, or have a strong opinion of why an integer is better as a primary key (or maybe a UUID), we'd like to hear from you. Experience with container platforms and orchestrators such as Docker, Kubernetes and OpenShift is a plus. If you can name one way in which a container is different than a regular process, you're golden. Experience in customer engagement.- Nice to have",,['Computer Software'],,[[9]]
174,Senior Software Engineer,visa,https://www.linkedin.com/jobs/view/3636236109,Mid-Senior level,"['or the next 5 to 10 years . VISA is a strong l', 'ications 2 or more years of software develop', 'nd territories each year . Our mission is to']","Company Description
Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone.
Job Description
Payments are a very exciting and fast-developing area with a lot of new and innovative ideas coming to market. With strong demand for new solutions in this space, it promises to be an exciting area of innovation for the next 5 to 10 years. VISA is a strong leader in the payment industry, and is rapidly transitioning into a technology company with significant investments in this area.
If you want to be in the exciting payment space, learn fast and make big impacts, VISA Payment Systems Risk group is an ideal place for you.
The Payment Systems Risk development group is responsible for building critical risk and fraud prevention applications and services at VISA. This includes idea generation, architecture, design, development, and testing of products, applications, and services that provide Visa clients with solutions to detect, prevent, and mitigate fraud for Visa and Visa client payment systems.
This position is ideal for an experienced software engineer who is passionate about solving challenging business problems and building applications that provide an excellent user experience. You will be one of the leaders of the PSR development team focusing on design and build of software solutions that leverage data to solve business problems. Sometimes you will be designing brand-new software solutions, and at other times you may be refactoring existing functionality for performance and maintainability, but always working on ways to make us more efficient and provide better solutions to our customers. The role is for a self-motivated individual with expert software engineering skills and extensive user interface design and development experience. The candidate will be extensively involved in leading hands-on software engineering activities including POCs, architecture, design, documentation, development and test of new functionality. Candidate must be flexible and willing to switch tasks based on team’s needs.
Essential Functions
Collaborate with project team members (Product Managers, Architects, Analysts, Developers, Project Managers, etc.) to ensure development and implementation of new data driven business solutions. Drive development effort End-to-End for on-time delivery of high quality solutions that conform to requirements, conform to the architectural vision, and comply with all applicable standards. Responsibilities span all phases of solution development. Collaborate with senior technical staff and PM to identify, document, plan contingency, track and manage risks and issues until all are resolved. Present technical solutions, capabilities, considerations, and features in business terms. Effectively communicate status, issues, and risks in a precise and timely manner. Engagement in requirements definition and clarification in collaboration with Business to ensure completeness and common understanding of the business needs is important. 
This is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office 2-3 set days a week (determined by leadership/site), with a general guidepost of being in the office 50% or more of the time based on business needs.
Qualifications
Basic Qualifications
 2 or more years of software development experience with a Bachelor’s Degree or an Advanced Degree (e.g. Masters, MBA, JD, MD) in a technical field such as computer science, computer engineering or related field required
Preferred Qualifications
 Strong design and coding skills with Java/J2EE.  Mandatory experience with n-tier web application development and REST API’s.  Solid experience in frameworks like Spring or Spring Boot.  Working experience with Kafka, Redis, or NoSQL datastores is a plus.  Hands on experience with database technologies like MySQL, DB2, Oracle.  Knowledge of Unix/Linux and working in a shell environment.  Experience with Continuous Integration & Development and automation tools such as Jenkins, Artifactory, Git etc.  Experience with Agile and Test-Driven Development methodology.  Strong analytical skills with excellent problem-solving ability.  Ability to present complex ideas in a clear, concise way. 
Additional Information
Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.",jobs.smartrecruiters.com,['Information Technology & Services'],SmartRecruiters,"[[5, 10], [2], []]"
175,Full Stack Senior Software Developer: R&D - IoT & Cloud (Hybrid),siemens,https://www.linkedin.com/jobs/view/3631316804,Mid-Senior level,"['experience of 4 - 8 years in solving complex', 'y for more than 165 years . As a global techno']","Division Description:
Siemens is a global technology powerhouse that has stood for engineering excellence, innovation, quality, reliability and internationality for more than 165 years. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. To tap business opportunities in both new and established markets, the Company is organized in nine Divisions: Power and Gas, Wind Power and Renewables, Energy Management, Building Technologies, Mobility, Digital Factory, Process Industries and Drives, Healthineers and Financial Services.
Job Description:
Full Stack Developer – Digitalization
Position Overview
Siemens – Digital Grid: The business unit has a full stack application developer position with a focus on growing our digitalization initiative in the area of Secondary Distribution Automation. This individual works in a matrixed organization consisting of other business unit teams that are implementing a division-wide initiative centered on digitalization. This position is responsible for acting as the Development expert on Application topics as it relates to digitalization and may be also engaged in customer-facing activities to target, develop and close specific digitalization opportunities.
Responsibilities:
We are forming a passionate group of solution innovators, UX devotees, techies, data scientists/AI experts, software lovers, AR/VR experts, visual artists, and architects, working in a lean startup concept. We strive to solve complex problems in various domains ranging from industry, energy, mobility and buildings to smart cities by applying methods and principles of data analytics, artificial intelligence, simulations, and interactive visualization. We are looking for equally passionate techies to join us in this exciting journey of finding solutions to some non-trivial challenges of the always connected peta-byte world.
What are my responsibilities?
You will be responsible for Design of software solutions based on requirements and within the constraints of architectural /design guidelines.You will have to derive software requirements and software functional specification, validate software requirements, provide software feasibility analysis and software effort estimation.You should identify potential harmony and for re-use of components / technology.You will be responsible for the accurate translation of software architecture into design and code.You will guide Scrum team members on all design topics & implementation consistency against the design/architectureYou will be involved in coding of features and/or bug-fixing and delivering solutions adhering to coding and quality guidelines, for self-owned componentsYou will guide the team in test automation design and towards implementation of the sameYou will be collaborating with globally located teams.You will participate in resolution of field problems in application of existing products.
What does it take me to qualify for this job?Masters/Bachelor’s degree in Computer Science or related discipline from a reputed institute.Grass-root experience of 4 - 8 years in solving complex problems and developing end to end application stack.Solid knowledge in at least one major programming language and computing platform viz. Typescript / JS / Python / Java / Go.Solid knowledge of either front-end technology viz. Angular/React/Vue, Bootstrap, HTML/CSS/JS.You should have experience in REST API/GraphQL development with technologies like Express & NodeJS / Flask & Python.You need to have experience in dB services like PostgreSQL / NoSQL, knowledge of processing large volume timeseries data is preferred.Should be familiar with hybrid/native mobile app development life cycle and relevant technologies viz. Ionic / Cordova, Android Studio, XCode, knowledge of process of publishing apps on Google Play Store and Apple App Store is desired.You should have exposure to Test automation frameworks like Jasmine and Protractor and should be able to perform test automation design for Unit Testing, Integration Testing and E2E Tests.Hands-on experience with source code control and application lifecycle management systems viz. Jira / Azure DevOps, Git.Experience working with CI/CD pipeline is required. Hands on with AWS/Azure, PaaS technologies like CloudFoundry / Kubernetes and Docker are highly preferred.Following qualities will be an added advantage:Strong focus to deliver quality in every work aspect, utilizing tools to monitor, analyze and enhance software code base, understanding of agile development approaches.Proven experience applying and thorough understanding of software design patterns and principles. Ability to choose and apply proven architectural patterns for concurrency and distributionExposure to disruptive technologies like blockchainStrong oral and written communication.
You would not like to miss a challenging and rewarding career with our R&D team!
If you can spend half a day in our lab and extensive hands-on exercise is an enjoyable task for you, just apply to start an interesting session with us!",jobs.siemens.com,['Electrical & Electronic Manufacturing'],,"[[4, 8], [165]]"
176,Assistant Lead / Lead Engineer - Software (C++),vestas,https://www.linkedin.com/jobs/view/3630984566,,"['alifications 5 - 10 years of working experien', 'd worldwide and 40+ years of experience in wi']","Vestas is the world leader in wind technology and a driving force in the development of the wind power industry. Vestas’ core business comprises the development, manufacture, sale, marketing, and maintenance of Wind Turbines. Come and join us at Vestas!
Applications, Controls & Electrical > Software Applications & Electronics > Quality Monitoring & Improvements
Software Application & Electronics is responsible for delivering optimized and trusted control solutions for our Wind Turbines including the functional safety. This includes the real-time communication backbone that ties all the distributed control nodes together, the real time operating system of the control nodes and the high-level functionality that control all operation in the turbine. SAE is responsible for maintaining the man machine & plant interface, service functionality, sensing (wind, azimuth, yawing, tower acceleration), AUX power supply & backup. We are a team of around 200+ engineers spread between Denmark, Portugal & India working in a highly innovative technology-centric and process motivated environment
Responsibilities
You will be part of a team providing engineering solutions to non-standard products and existing productsAddressing the issues reported from field and RCA & problem solving related to turbines in operationSupport the service technical team across the globe that keeps our turbine fleet runningSupport to sales organization by addressing new solution requirements and technology developmentThe work involves high level of engineering i.e. balancing a solution towards various specific requirementsAddressing the issues specific to personal systems in the turbine and developing solutions having close collaboration with the system leadsYou will be responsible for verification of the solution on all levels, including software tests (in-house) and field verificationYou will be also responsible for documenting and presenting your work in a precise way to your internal and external stakeholders
Qualifications
5 - 10 years of working experience with software developmentObject Oriented & State based software designExperience in the real time embedded systems machine control domainDevelopment Experience with C++Experience in scripting languages like python & SQLExperience in Control system using MATLAB Simulink(not mandatory)Hands-on experience with product or technology developmentExperience with SCRUM and Agile DevelopmentUnderstanding of Continuous integration solutions with e.g. Git, Jenkins, Atlassian suiteEducation Qualification : B. Tech / B.E / MTech / ME - CSE, ECE, EEE
Competencies
You are innovative , problem-solving, results-oriented and have a solid sense of responsibilityYou are able to meet your deadlines with the good quality outputYou have a creative approach to new tasks and out of box thought processYou achieve goals as part of a team and it comes naturally to you to collaborate and share knowledgeGood communication & presentation skills in English (speaking and writing)
What We Offer
We offer an opportunity to be part of a solid team in an exciting business with very comprehensive products. The working environment in Engineering Solution is informal but with clear direction. You will be part of a project-oriented organization with an inspiring work environment. You will be part of an international organization with opportunities to grow and develop in the job - professionally and personally.
Additional Information
Your work location will be in Chennai, India
Please note: We do amend or withdraw our jobs and reserve the right to do so at any time, including prior to the advertised closing date. Please be advised to apply on or before 30th June 2023.
About Vestas
Vestas is the energy industry’s global partner on sustainable energy solutions. We are specialised in designing, manufacturing, installing, and servicing wind turbines, both onshore and offshore.
Across the globe, we have installed more wind power than anyone else. We consider ourselves pioneers within the industry, as we continuously aim to design new solutions and technologies to create a more sustainable future for all of us. With more than 145 GW of wind power installed worldwide and 40+ years of experience in wind energy, we have an unmatched track record demonstrating our expertise within the field.
With 29,000 employees globally, we are a diverse team united by a common goal: to power the solution – today, tomorrow, and far into the future.
Vestas promotes a diverse workforce which embraces all social identities and is free of any discrimination. We commit to create and sustain an environment that acknowledges and harvests different experiences, skills, and perspectives. We also aim to give everyone equal access to opportunity.
To learn more about our company and life at Vestas, we invite you to visit our website at www.vestas.com and follow us on our social media channels. We also encourage you to join our Talent Universe to receive notifications on new and relevant postings.",careers.vestas.com,['Renewables & Environment'],,"[[5, 10], [40]]"
177,.NET + Node.js – Developer IRC183794,globallogic,https://www.linkedin.com/jobs/view/3594315421,Director,['quirements: Min 7+ years of experience as a'],"Description:

Join GlobalLogic, to be a valid part of the team working on a huge software project for the world-class company providing M2M / IoT 4G/5G modules e.g. to the automotive, healthcare and logistics industries. Through our engagement, we contribute to our customer in developing the end-user modules’ firmware, implementing new features, maintaining compatibility with the newest telecommunication and industry standards, as well as performing analysis and estimations of the customer requirements.

Requirements:

Min 7+ Years of experience as a .net + Node.js – development.

Net developer to build software using languages and technologies of the .NET Core, Collaborate with internal teams to produce software design and architecture.

Highly capable Node.js developer to optimize our web-based application performance.

Preferences:

Full Stack- .Net + Node.js, .NET Core

Job Responsibilities:

Experience with noSQL DBs – Mongo, Cassandra

Hands on experience in SQL Database, Writing stored procedures, Query optimization, Table designs.

Experience with AWS / Cloud Technologies

Experience in Unit Testing.

Expertise in troubleshooting, Code Optimization, Performance Tuning.

Understanding of Agile methodologies.

Preference- .Net. Dot Net core, Node JS, Web based application performance

What We Offer

Exciting Projects: We focus on industries like High-Tech, communication, media, healthcare, retail and telecom. Our customer list is full of fantastic global brands and leaders who love what we build for them.

Collaborative Environment: You Can expand your skills by collaborating with a diverse team of highly talented people in an open, laidback environment — or even abroad in one of our global centers or client facilities!

Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer flexible work schedules, opportunities to work from home, and paid time off and holidays.

Professional Development: Our dedicated Learning & Development team regularly organizes Communication skills training(GL Vantage, Toast Master),Stress Management program, professional certifications, and technical and soft skill trainings.

Excellent Benefits: We provide our employees with competitive salaries, family medical insurance, Group Term Life Insurance, Group Personal Accident Insurance , NPS(National Pension Scheme ), Periodic health awareness program, extended maternity leave, annual performance bonuses, and referral bonuses.

Fun Perks: We want you to love where you work, which is why we host sports events, cultural activities, offer food on subsidies rates, Corporate parties. Our vibrant offices also include dedicated GL Zones, rooftop decks and GL Club where you can drink coffee or tea with your colleagues over a game of table and offer discounts for popular stores and restaurants!

About GlobalLogic GlobalLogic is a leader in digital engineering. We help brands across the globe design and build innovative products, platforms, and digital experiences for the modern world. By integrating experience design, complex engineering, and data expertise—we help our clients imagine what’s possible, and accelerate their transition into tomorrow’s digital businesses. Headquartered in Silicon Valley, GlobalLogic operates design studios and engineering centers around the world, extending our deep expertise to customers in the automotive, communications, financial services, healthcare and life sciences, manufacturing, media and entertainment, semiconductor, and technology industries. GlobalLogic is a Hitachi Group Company operating under Hitachi, Ltd. (TSE: 6501) which contributes to a sustainable society with a higher quality of life by driving innovation through data and technology as the Social Innovation Business.",www.globallogic.com,['Computer Software'],,[[7]]
178,Tech Support Consultant I,aveva,https://www.linkedin.com/jobs/view/3560498687,Mid-Senior level,['Minimum two or more years ’ engineering experi'],"AVEVA is a global leader in industrial software. Our cutting-edge solutions are used by thousands of enterprises to deliver the essentials of life – such as energy, infrastructure, chemicals and minerals – safely, efficiently and more sustainably.
We’re the first software business in the world to have our sustainability targets validated by the SBTi, and we’ve been recognized for the transparency and ambition of our commitment to diversity, equity, and inclusion. We’ve also recently been named as one of the world’s most innovative companies.
If you’re a curious and collaborative person who wants to make a big impact through technology, then we want to hear from you! Find out more at https://www.aveva.com/en/about/careers/

What is the role?
Based in Bangalore, we are now actively recruiting a Support Engineer – AMPLA for our Global Customer Support, business.
Key responsibilities will include:

Technical troubleshooting, analysis, and diagnosis of product support issues via phone, email & web chat for MES products to experienced end users, distributors and system integrators. Researching issues and interfacing with product development, product management, and other technical support engineers as required. Document activities and findings in a services request tracking CRM tool. Provide accurate and detailed problem reports by maintaining Case management system with regular follow-up of problems and queries. Keeping accurate records of support activities in the CRM systems.Ensure service request updates and resolution timeframes are in line with service level agreements.Document all solutions, bug fixes and suitable workarounds. Raise appropriate documents about product problems and work history.Identify and keep management aware of potential improvement areas around product, services and training.Actively contribute towards knowledge sharing activities like writing knowledge articles, tech alerts/notes, utilities, prepare and present webinars etc.Qualifications
Why you?
You are someone who gets excited by innovation. You are a highly driven and confident Professional who wants to work for a values-based organisation whose solutions are leading edge. You are focused, collaborative and passionate about the work that you do. In addition, you possess the following relevant skills:

Tertiary qualified in Industrial Automation, Computer Science, Information Technology, Engineering or related disciplines with experience providing expert level technical support or extensive experience in operations / project delivery in industrial automation software domain.Minimum two or more years’ engineering experience designing, developing, implementing and supporting MES software solutions with demonstrable knowledge, and implementation / troubleshooting experience with MES software preferably Production Management (Ampla) or WW MES. Excellent communication skills enabling professional management of key accounts.Solid troubleshooting skills.Experience with complex software configurations, networking, TCP/IP communications, database connectivity, SQL, Windows Client Server architecture.Experience with industrial communications networks and protocols E.g. OPC (DA, AE, HDA), OPC UA, Modbus, DNP3 etc is advantageous. In-depth experience with key Microsoft products:Operating Systems such as Windows Server, Windows 10, Windows CoreMicrosoft SQL Server database administration and troubleshootingMicrosoft Office (Word, Excel, Power Point)Should have strong hands-on experience in MS SQL Server, Microsoft Visual Studio including VB.Net and/or C#.Net.Good to have the knowledge on ASP.Net, ADO.Net, WCF, WPF, Web service, IISAbility and willingness to work some evenings and public holidays

Positive attitude, enthusiastic, self-motivated and customer-focused  Occasional travel for training, delivery of onsite services, or to present at customer events (<5%). 

AVEVA requires all successful applicants to undergo and pass a comprehensive background check before they start employment. Background checks will be conducted in accordance with local laws and may, subject to those laws, include proof of educational attainment, employment history verification, proof of work authorization, criminal records, identity verification, credit check. Certain positions dealing with sensitive and/or third party personal data may involve additional background check criteria.

AVEVA is an Equal Opportunity Employer. We are committed to being an exemplary employer with an inclusive culture, developing a workplace environment where all our employees are treated with dignity and respect. We value diversity and the expertise that people from different backgrounds bring to our business.

Come and join AVEVA to create the transformative technology that enables our customers to engineer a better world.",aveva.wd3.myworkdayjobs.com,['Computer Software'],Workday,[[]]
179,Database Solution Architect-PostgreSQL,nutanix,https://www.linkedin.com/jobs/view/3635403528,Mid-Senior level,[],"Hungry, Humble, Honest, with Heart
The Opportunity
Nutanix builds amazing software that unifies the simplicity and agility of public cloud with the control, performance, and security of private cloud. Whether on-premises or hybrid, Nutanix software will ensure business continuity through centralized management, one-click operations, and AI-driven automation.
Nutanix culture is embodied by a collective group of culture principles ( here ). If our mission to help customers transform and these culture principles resonate with you, then reach out to us!
Nutanix Solutions team oversees creating Nutanix Validated Designs, Reference Architectures, Technical Notes, and Best Practices Guides in multiple verticals like Hybrid Cloud, Networking, EUC, Database, SAP, Security, and networking.
The team attracts top talent and thought leaders from a variety of disciplines and subject matter areas and forms a group of highly sought after experts that provide vision and leadership for how customer solutions run on our platform.
We are looking for an experienced Postgres Database Specialist, who is excited to design and build modern database solutions and shape the future of our DBaaS product. In the Nutanix Solution Team, you will be working with the most challenging customers, building intellectual property (Reference Architectures, Best Practices Guides, Nutanix Validated Designs, etc.), and working with Product Management/Engineering on the product roadmap. You will find no shortage of challenging problems to work on, and you will be surrounded by a team of well-respected thought leaders who drive innovation within our company. You will combine your knowledge across a wide range of products / technologies (Operating Systems, Databases, Virtualization) and hands-on experience with public cloud services (IaaS, PaaS, etc) to develop customer solutions that speed sales outcomes, accelerate time-to-value for our customers, and improve our core products and services.
Your Role:-
 Optimize performance through tuning and configuration to develop Best Practice Guides for PostgreSQL databases running on Nutanix.  Execution of benchmark testing including the collection and interpretation of results. Contribute to the development related to automating the PostgreSQL database test harness.  Work with internal customers (SE’s), prospects and customers helping them to deploy PostgreSQL workloads on Nutanix platform.  Provide workshops, represent Nutanix across different industry events and develop custom training for internal customers, prospects, and customers.  Provide help to large scale enterprise customers before/during/after migration of workloads to Nutanix’s platform.  Evaluate new upcoming technologies and provide feedback on the latest technologies and inclusion in our database solutions offering.  Provide help to install, support, and maintain Nutanix solutions during strategic Proof of Concept (POC) deployments.  Provide thought leadership related to business and technology trends related to databases and stay ahead of the learning curve in your area of expertise. 
What You’ll Bring
 Deep knowledge of PostgreSQL (mandatory) from a Systems Architect or DBA point of view  Experience with mid to large companies (preferably Fortune 2000)  Familiar with Virtualization (Xen/KVM/HyperV/ESXi), Networking, Operating Systems (Linux/Windows), Storage (SAN/NAS/HCI)  Experience with trouble shooting and debugging in Linux or Windows environments.  Knowledge of Bash scripting, Python, SQL  Experience with infrastructure automation frameworks such as Ansible, Chef, Puppet etc.  Experience with other commercial or open-source database engines  Hands on experience with Benchmarking tools like HammerDB, Benchmark Factory, or others  Knowledge of public cloud solutions/offerings like AWS RDS, Azure, GCP is a plus.  Flexible, dependable, self-starter, capable of quickly learning new products and technologies.  Excellent oral and written communications skills, as well as excellent presentation skills  Ability to work within a distributed global distributed team across the globe (APJ, EMEA, US locations)  Bachelor's degree in computer science, software development, or equivalent work experience  Previous experience as Enterprise Architect / Systems Architect / DBA  Excellent problem-solving skills",nutanix.eightfold.ai,['Computer Software'],,[]
180,Software Engineer,caterpillar-inc.,https://www.linkedin.com/jobs/view/3636294317,,[],"Career Area
Digital
Job Description
 Work Location: Chennai 
Key Role/Responsibilities
 Provide technical delivery of software as per the specifications and design guidelines.  Apply and integrate technologies such as Angular, HTML, CSS, JQuery to conceptualize, design, and develop and unit test web-based applications.  Analyse the requirements and its impact to existing application  Communicate and collaborate with the team  Work with the Leads to create scope estimates and feature technical specifications 
Required Skills
 Strong experience in Angular or React technologies with Cloud based environment.  Expert knowledge in HTML, CSS3, JQuery, TypeScript, Unit test cases like Jasmine, Mocha, Functional test cases like Jasper and JSON, REST/JSON web services.  Knowledge in Design Patterns and Micro Front end design / development will be an added advantage.  Hands on experience in Configuring, running & fixing issues from tools like Sonar / Lint and Security Analysis tools used for Static/Dynamic testing  Experience developing applications with Agile team methodologies preferred.  Strong Object-Oriented design skills and understanding of MVC.  Sufficient experience with Git to organize a large software project with multiple developers to include branching, tagging and merging. 
Desired Skills
 Experience in Azure or AWS cloud (PaaS) is a plus.  Strong business application design skills.  Excellent communications and interpersonal skills.  Strong debugging skills.  Highly proficient in standard UI development tools (Visual Studio Code, etc.)  A strong interest in building security into applications from the initial design.  Experience at creating technical project Documentation and task time estimates.  Relocation is available for this position.
Caterpillar is an Equal Opportunity Employer (EEO).
Not ready to apply? Submit your information to our Talent Network here .",careers.caterpillar.com,"['Construction', 'Machinery']",,[]
